epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.183,1.45001,3.61962,1.11119,0.42843,0.69383,0.52481,0.31898,1.41037,1.623,1.09693,0.00333082,0.00333082,0.00333082
2,294.308,1.32955,1.77795,1.1082,0.84901,0.8702,0.9497,0.66053,1.08078,0.87168,1.00146,0.00665682,0.00665682,0.00665682
3,435.304,1.31019,1.32812,1.11176,0.95913,0.95545,0.9877,0.65557,1.22751,0.66518,1.06568,0.00997549,0.00997549,0.00997549
4,575.643,1.29544,1.07504,1.10997,0.98269,0.97955,0.99354,0.71929,1.04839,0.5458,1.00656,0.009967,0.009967,0.009967
5,715.839,1.25638,0.86568,1.09288,0.99236,0.99286,0.99478,0.6711,1.23825,0.5085,1.05737,0.009956,0.009956,0.009956
6,855.994,1.23854,0.77614,1.08296,0.99534,0.9951,0.99415,0.71554,1.09216,0.45281,1.00521,0.009945,0.009945,0.009945
7,996.246,1.21943,0.72645,1.07414,0.99522,0.99709,0.99489,0.71246,1.09127,0.43823,1.00075,0.009934,0.009934,0.009934
8,1136.61,1.2027,0.69244,1.06738,0.9964,0.99786,0.99495,0.72911,1.03775,0.42108,0.98913,0.009923,0.009923,0.009923
9,1276.81,1.19699,0.67056,1.06186,0.99776,0.99884,0.995,0.76529,0.92166,0.39117,0.94552,0.009912,0.009912,0.009912
10,1416.96,1.19201,0.65518,1.05764,0.99822,0.99825,0.99492,0.76965,0.91625,0.38521,0.94574,0.009901,0.009901,0.009901
11,1557.25,1.18238,0.63564,1.05398,0.99782,0.9984,0.9948,0.78504,0.88313,0.36933,0.92988,0.00989,0.00989,0.00989
12,1697.61,1.18168,0.62693,1.05356,0.99826,0.99825,0.99499,0.7946,0.84127,0.36124,0.92033,0.009879,0.009879,0.009879
13,1837.86,1.17397,0.6175,1.05145,0.9989,0.99931,0.99498,0.77679,0.9086,0.36207,0.93762,0.009868,0.009868,0.009868
