epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.572,1.45001,3.61962,1.11119,0.42843,0.69383,0.52481,0.31898,1.41037,1.623,1.09693,0.00333082,0.00333082,0.00333082
2,293.283,1.32935,1.77604,1.10755,0.90692,0.92455,0.97577,0.70974,0.98432,0.75887,0.96772,0.00664216,0.00664216,0.00664216
3,433.522,1.3074,1.32349,1.11127,0.95497,0.95616,0.98824,0.5982,1.42962,0.69528,1.14395,0.0099315,0.0099315,0.0099315
4,573.394,1.29228,1.07705,1.10923,0.96198,0.96376,0.9898,0.6477,1.28044,0.609,1.08137,0.009901,0.009901,0.009901
5,713.332,1.25745,0.87415,1.09294,0.99261,0.99392,0.99429,0.68987,1.15587,0.51488,1.02532,0.009868,0.009868,0.009868
6,853.427,1.23758,0.77661,1.0827,0.99329,0.99577,0.99464,0.7456,0.98942,0.44627,0.97526,0.009835,0.009835,0.009835
7,993.666,1.22003,0.72991,1.0742,0.99509,0.99573,0.99464,0.73346,1.02066,0.43107,0.97664,0.009802,0.009802,0.009802
8,1133.87,1.20285,0.69187,1.06726,0.99752,0.99788,0.99498,0.75288,0.95794,0.40464,0.96161,0.009769,0.009769,0.009769
9,1274.18,1.19729,0.67009,1.06216,0.99783,0.99833,0.99491,0.76011,0.94769,0.39477,0.95226,0.009736,0.009736,0.009736
10,1414.46,1.19198,0.65386,1.05758,0.99795,0.99882,0.995,0.79042,0.83861,0.37655,0.92187,0.009703,0.009703,0.009703
11,1554.66,1.18169,0.63785,1.05341,0.99769,0.99836,0.99491,0.74503,1.01225,0.38685,0.97104,0.00967,0.00967,0.00967
12,1694.98,1.18004,0.62738,1.05305,0.99859,0.99937,0.99494,0.78879,0.86193,0.36751,0.92524,0.009637,0.009637,0.009637
13,1835.2,1.17361,0.61631,1.05117,0.99878,0.99953,0.995,0.77247,0.92941,0.36268,0.943,0.009604,0.009604,0.009604
14,1975.6,1.17035,0.60822,1.04642,0.99836,0.9989,0.99496,0.76962,0.94543,0.3619,0.9453,0.009571,0.009571,0.009571
15,2115.8,1.16917,0.60193,1.04511,0.99835,0.99923,0.99496,0.80364,0.82137,0.34347,0.91248,0.009538,0.009538,0.009538
16,2256.04,1.16728,0.59527,1.04339,0.9988,0.99897,0.99499,0.77702,0.92302,0.35115,0.94243,0.009505,0.009505,0.009505
17,2396.13,1.16085,0.58576,1.04156,0.99906,0.99957,0.995,0.81003,0.81616,0.33431,0.9092,0.009472,0.009472,0.009472
18,2536.34,1.16254,0.58371,1.04125,0.99912,0.99984,0.995,0.80021,0.85437,0.33707,0.92059,0.009439,0.009439,0.009439
19,2676.61,1.15695,0.57833,1.03974,0.99923,0.99965,0.995,0.79942,0.85789,0.33324,0.91822,0.009406,0.009406,0.009406
20,2817.06,1.15654,0.57496,1.03678,0.99921,0.99994,0.995,0.80002,0.85801,0.3297,0.91987,0.009373,0.009373,0.009373
21,2957.39,1.15045,0.57079,1.03562,0.99921,0.99983,0.995,0.80241,0.84995,0.32696,0.91826,0.00934,0.00934,0.00934
22,3097.57,1.14958,0.56549,1.03376,0.99924,0.99989,0.995,0.81395,0.81675,0.32313,0.90758,0.009307,0.009307,0.009307
