epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,3237.99,1.14941,0.56001,1.03205,0.9992,0.99989,0.995,0.81427,0.80693,0.3202,0.90427,0.009274,0.009274,0.009274
24,3378.6,1.15013,0.56048,1.0338,0.9992,0.99999,0.995,0.81982,0.78962,0.31708,0.89653,0.009241,0.009241,0.009241
25,3519.26,1.14734,0.55668,1.03166,0.99927,0.99997,0.995,0.82021,0.79521,0.31509,0.90029,0.009208,0.009208,0.009208
26,3659.76,1.14798,0.55366,1.03072,0.99932,0.99999,0.995,0.82107,0.78889,0.31416,0.89722,0.009175,0.009175,0.009175
27,3800.25,1.14569,0.55034,1.03133,0.99919,1,0.995,0.82353,0.78831,0.30893,0.89818,0.009142,0.009142,0.009142
28,3940.77,1.14255,0.54785,1.02952,0.99928,0.99992,0.995,0.82358,0.78958,0.30863,0.89725,0.009109,0.009109,0.009109
29,4081.11,1.13811,0.54357,1.02961,0.9993,0.9999,0.995,0.82219,0.79282,0.30693,0.89742,0.009076,0.009076,0.009076
30,4221.6,1.1393,0.54262,1.02664,0.99928,0.99989,0.995,0.82015,0.81032,0.30796,0.903,0.009043,0.009043,0.009043
31,4362.03,1.13835,0.5396,1.02689,0.99921,0.99973,0.995,0.827,0.78127,0.30455,0.89529,0.00901,0.00901,0.00901
32,4502.56,1.13392,0.5396,1.02697,0.99943,0.99994,0.995,0.82671,0.7807,0.30236,0.89406,0.008977,0.008977,0.008977
33,4643.13,1.13402,0.53393,1.02536,0.99939,0.99994,0.995,0.8278,0.78159,0.30235,0.89426,0.008944,0.008944,0.008944
34,4783.62,1.12766,0.53292,1.02446,0.99936,1,0.995,0.83023,0.77364,0.29964,0.89257,0.008911,0.008911,0.008911
35,4924.12,1.12066,0.53021,1.02187,0.99937,1,0.995,0.83173,0.76843,0.29901,0.89096,0.008878,0.008878,0.008878
36,5064.67,1.10175,0.52743,1.0123,0.99933,1,0.995,0.82981,0.77705,0.29947,0.89317,0.008845,0.008845,0.008845
37,5205.34,1.06126,0.5214,0.99616,0.99928,1,0.995,0.83213,0.76949,0.29771,0.88946,0.008812,0.008812,0.008812
38,5346.01,1.04998,0.51517,0.9942,0.99935,1,0.995,0.83015,0.77864,0.29773,0.89153,0.008779,0.008779,0.008779
39,5486.74,1.0493,0.51404,0.99363,0.9994,1,0.995,0.8306,0.77436,0.29626,0.88989,0.008746,0.008746,0.008746
40,5627.3,1.04851,0.51278,0.99164,0.99943,1,0.995,0.83298,0.76944,0.29461,0.88873,0.008713,0.008713,0.008713
41,5768.04,1.04145,0.51023,0.99103,0.99944,1,0.995,0.83308,0.76723,0.29397,0.88808,0.00868,0.00868,0.00868
42,5908.66,1.04298,0.50772,0.98987,0.99944,1,0.995,0.83427,0.76582,0.29344,0.88737,0.008647,0.008647,0.008647
43,6049.32,1.042,0.50824,0.99062,0.99939,1,0.995,0.8346,0.76268,0.29296,0.88674,0.008614,0.008614,0.008614
44,6190.06,1.03872,0.50713,0.98645,0.99939,1,0.995,0.83564,0.75928,0.29209,0.88577,0.008581,0.008581,0.008581
45,6330.97,1.04038,0.5041,0.98817,0.99939,1,0.995,0.83603,0.75616,0.29142,0.88501,0.008548,0.008548,0.008548
46,6471.82,1.03878,0.50576,0.98898,0.99941,1,0.995,0.83634,0.75579,0.29119,0.88492,0.008515,0.008515,0.008515
47,6612.52,1.03424,0.50119,0.98694,0.99941,1,0.995,0.83712,0.75302,0.29078,0.88403,0.008482,0.008482,0.008482
48,6753.28,1.03026,0.50008,0.98764,0.99941,1,0.995,0.83741,0.75295,0.29055,0.88393,0.008449,0.008449,0.008449
49,6894.06,1.03277,0.49865,0.98675,0.99942,1,0.995,0.8375,0.75221,0.29057,0.88373,0.008416,0.008416,0.008416
50,7034.77,1.03305,0.50066,0.98598,0.99941,1,0.995,0.83788,0.75219,0.29036,0.88376,0.008383,0.008383,0.008383
51,7175.52,1.02937,0.49529,0.98469,0.99942,1,0.995,0.83828,0.75083,0.29,0.8833,0.00835,0.00835,0.00835
52,7316.5,1.02484,0.49443,0.98421,0.99941,1,0.995,0.8391,0.74863,0.2899,0.88266,0.008317,0.008317,0.008317
53,7457.28,1.02869,0.49431,0.9874,0.99941,1,0.995,0.83903,0.74903,0.28974,0.88273,0.008284,0.008284,0.008284
54,7598.17,1.02296,0.49235,0.98305,0.9994,1,0.995,0.8391,0.74926,0.28964,0.88262,0.008251,0.008251,0.008251
55,7739.07,1.02362,0.49264,0.98291,0.99941,1,0.995,0.83923,0.74836,0.28953,0.88231,0.008218,0.008218,0.008218
56,7879.97,1.02459,0.49087,0.98491,0.9994,1,0.995,0.83958,0.74763,0.28936,0.88213,0.008185,0.008185,0.008185
57,8020.71,1.02656,0.49229,0.98235,0.9994,1,0.995,0.83948,0.74684,0.28974,0.88181,0.008152,0.008152,0.008152
58,8161.69,1.02651,0.49069,0.98521,0.99939,1,0.995,0.83996,0.74647,0.28977,0.8816,0.008119,0.008119,0.008119
59,8302.61,1.02456,0.49121,0.98358,0.99939,1,0.995,0.83993,0.74596,0.2897,0.88148,0.008086,0.008086,0.008086
60,8443.68,1.02284,0.49006,0.98223,0.99939,1,0.995,0.84,0.74585,0.28972,0.88147,0.008053,0.008053,0.008053
61,8584.47,1.02708,0.49066,0.98299,0.9994,1,0.995,0.8391,0.74708,0.28999,0.8818,0.00802,0.00802,0.00802
62,8725.51,1.01974,0.48463,0.98125,0.9994,1,0.995,0.83921,0.7468,0.29006,0.88172,0.007987,0.007987,0.007987
63,8866.49,1.0185,0.48543,0.98075,0.9994,1,0.995,0.83928,0.74608,0.28987,0.88153,0.007954,0.007954,0.007954
64,9007.29,1.02016,0.48431,0.9805,0.99939,1,0.995,0.83949,0.74648,0.29014,0.88159,0.007921,0.007921,0.007921
65,9148.3,1.01781,0.48402,0.97955,0.99938,1,0.995,0.83935,0.74703,0.29047,0.88171,0.007888,0.007888,0.007888
66,9289.31,1.01288,0.48149,0.97818,0.99939,1,0.995,0.83903,0.74823,0.2907,0.88195,0.007855,0.007855,0.007855
67,9430.59,1.01488,0.48207,0.97859,0.99938,1,0.995,0.83947,0.74683,0.29052,0.88161,0.007822,0.007822,0.007822
68,9571.61,1.01621,0.48279,0.98044,0.99937,1,0.995,0.83952,0.74694,0.29041,0.88171,0.007789,0.007789,0.007789
69,9712.64,1.01229,0.482,0.97845,0.99938,1,0.995,0.83938,0.74708,0.29058,0.88182,0.007756,0.007756,0.007756
70,9853.48,1.01201,0.4798,0.97666,0.99938,1,0.995,0.83944,0.74751,0.29066,0.8819,0.007723,0.007723,0.007723
71,9994.34,1.01466,0.48059,0.97967,0.99937,1,0.995,0.83962,0.74749,0.29113,0.88183,0.00769,0.00769,0.00769
72,10135.5,1.01447,0.48231,0.97835,0.99937,1,0.995,0.83945,0.74715,0.29119,0.88171,0.007657,0.007657,0.007657
73,10276.6,1.01169,0.47581,0.97611,0.99937,1,0.995,0.83967,0.7467,0.29118,0.88149,0.007624,0.007624,0.007624
74,10417.7,1.01134,0.47841,0.97847,0.99936,1,0.995,0.84028,0.74587,0.29122,0.8812,0.007591,0.007591,0.007591
75,10559,1.00969,0.4767,0.97625,0.99936,1,0.995,0.84046,0.74521,0.29133,0.8809,0.007558,0.007558,0.007558
76,10700.2,1.00968,0.47818,0.9775,0.99937,1,0.995,0.8402,0.74542,0.29156,0.88091,0.007525,0.007525,0.007525
77,10841.4,1.00708,0.4748,0.97589,0.99936,1,0.995,0.84065,0.7455,0.29173,0.88087,0.007492,0.007492,0.007492
78,10982.5,1.0094,0.47508,0.97861,0.99936,1,0.995,0.84082,0.74581,0.29205,0.88087,0.007459,0.007459,0.007459
79,11124,1.00744,0.47581,0.9771,0.99936,1,0.995,0.84085,0.74517,0.29189,0.88072,0.007426,0.007426,0.007426
80,11265.3,1.00852,0.47617,0.97646,0.99936,1,0.995,0.84075,0.74491,0.29193,0.88065,0.007393,0.007393,0.007393
81,11406.8,1.0051,0.47291,0.97547,0.99937,1,0.995,0.84088,0.74449,0.29211,0.88046,0.00736,0.00736,0.00736
82,11548.2,1.00888,0.4731,0.97811,0.99937,1,0.995,0.84061,0.74502,0.29257,0.88056,0.007327,0.007327,0.007327
83,11689.4,1.00666,0.47286,0.97451,0.99938,1,0.995,0.84102,0.74422,0.29282,0.88028,0.007294,0.007294,0.007294
84,11830.7,1.00183,0.47127,0.97512,0.99938,1,0.995,0.84113,0.74372,0.29291,0.88012,0.007261,0.007261,0.007261
85,11971.9,1.00307,0.47242,0.97337,0.99937,1,0.995,0.84112,0.74362,0.293,0.88007,0.007228,0.007228,0.007228
86,12113.2,0.99845,0.47029,0.97336,0.99937,1,0.995,0.84105,0.74362,0.29302,0.88008,0.007195,0.007195,0.007195
87,12254.7,1.00263,0.47092,0.9721,0.99936,1,0.995,0.84116,0.74346,0.29316,0.88,0.007162,0.007162,0.007162
88,12396.1,0.99968,0.47108,0.97218,0.99937,1,0.995,0.84095,0.74394,0.29324,0.88008,0.007129,0.007129,0.007129
89,12537.2,1.00248,0.47006,0.97459,0.99936,1,0.995,0.84122,0.74417,0.2932,0.8801,0.007096,0.007096,0.007096
90,12678.3,1.00243,0.46994,0.97389,0.99937,1,0.995,0.8413,0.74428,0.29309,0.88013,0.007063,0.007063,0.007063
91,12819.5,0.99933,0.46726,0.97249,0.99937,1,0.995,0.84172,0.74402,0.29292,0.88008,0.00703,0.00703,0.00703
92,12961,0.99472,0.46437,0.97192,0.99937,1,0.995,0.84157,0.74405,0.29277,0.88007,0.006997,0.006997,0.006997
93,13102.4,0.99862,0.4674,0.9725,0.99936,1,0.995,0.84192,0.74368,0.2927,0.87991,0.006964,0.006964,0.006964
94,13243.8,0.99405,0.46455,0.97201,0.99936,1,0.995,0.84181,0.74425,0.2927,0.87999,0.006931,0.006931,0.006931
95,13385.4,0.99658,0.46438,0.97342,0.99936,1,0.995,0.84159,0.74527,0.29288,0.88021,0.006898,0.006898,0.006898
96,13526.6,1.00187,0.46732,0.97393,0.99936,1,0.995,0.84188,0.74549,0.29268,0.88026,0.006865,0.006865,0.006865
97,13668.1,0.99458,0.46501,0.97001,0.99936,1,0.995,0.84191,0.74517,0.29264,0.88023,0.006832,0.006832,0.006832
98,13809.3,0.99651,0.46469,0.9738,0.99936,1,0.995,0.84174,0.74549,0.29266,0.88033,0.006799,0.006799,0.006799
99,13950.9,0.99134,0.46346,0.96893,0.99936,1,0.995,0.84175,0.7458,0.29274,0.88041,0.006766,0.006766,0.006766
100,14092.2,0.99345,0.46413,0.97043,0.99936,1,0.995,0.84238,0.74493,0.29281,0.8802,0.006733,0.006733,0.006733
101,14233.8,0.99188,0.46234,0.97007,0.99936,1,0.995,0.84237,0.74416,0.29269,0.88009,0.0067,0.0067,0.0067
102,14375.3,0.991,0.46094,0.9696,0.99936,1,0.995,0.84228,0.74395,0.29262,0.88008,0.006667,0.006667,0.006667
103,14516.7,0.9909,0.45913,0.97079,0.99937,1,0.995,0.84234,0.74343,0.29241,0.87994,0.006634,0.006634,0.006634
104,14658,0.98764,0.46089,0.96776,0.99937,1,0.995,0.84292,0.74303,0.29213,0.87981,0.006601,0.006601,0.006601
105,14799.7,0.99046,0.46122,0.96885,0.99936,1,0.995,0.84296,0.74217,0.2921,0.87955,0.006568,0.006568,0.006568
106,14941.2,0.98466,0.45784,0.96898,0.99938,1,0.995,0.84316,0.74219,0.292,0.87949,0.006535,0.006535,0.006535
107,15082.9,0.99221,0.45934,0.96932,0.99937,1,0.995,0.84295,0.74233,0.2918,0.87948,0.006502,0.006502,0.006502
108,15224.5,0.99006,0.45871,0.96937,0.99937,1,0.995,0.84344,0.74208,0.29163,0.87949,0.006469,0.006469,0.006469
109,15366.1,0.98728,0.45969,0.96813,0.99937,1,0.995,0.84338,0.74147,0.29145,0.87928,0.006436,0.006436,0.006436
110,15507.5,0.9849,0.46006,0.96741,0.99937,1,0.995,0.84343,0.74194,0.29113,0.87928,0.006403,0.006403,0.006403
111,15649.1,0.98454,0.45755,0.96666,0.99938,1,0.995,0.84339,0.74163,0.2908,0.87911,0.00637,0.00637,0.00637
112,15790.9,0.98624,0.45588,0.96732,0.99938,1,0.995,0.84319,0.74114,0.29094,0.87899,0.006337,0.006337,0.006337
113,15932.5,0.98218,0.45519,0.96707,0.99939,1,0.995,0.84307,0.74108,0.29069,0.87891,0.006304,0.006304,0.006304
114,16074.2,0.98418,0.455,0.96799,0.99938,1,0.995,0.84341,0.74061,0.29034,0.87875,0.006271,0.006271,0.006271
115,16215.9,0.97698,0.45216,0.96634,0.99939,1,0.995,0.84351,0.73966,0.29,0.87847,0.006238,0.006238,0.006238
116,16357.5,0.97767,0.45618,0.96701,0.99939,1,0.995,0.84357,0.7396,0.28969,0.87849,0.006205,0.006205,0.006205
117,16499.1,0.9798,0.45352,0.96572,0.99938,1,0.995,0.84395,0.73904,0.2896,0.87839,0.006172,0.006172,0.006172
118,16640.8,0.97894,0.45382,0.9643,0.99938,1,0.995,0.84368,0.73859,0.28947,0.87827,0.006139,0.006139,0.006139
119,16782.6,0.97941,0.4531,0.96522,0.99937,1,0.995,0.84403,0.73845,0.28964,0.8782,0.006106,0.006106,0.006106
120,16924.5,0.97677,0.45421,0.96686,0.99937,1,0.995,0.84409,0.73802,0.28942,0.87813,0.006073,0.006073,0.006073
121,17066.4,0.97396,0.45167,0.96585,0.99937,1,0.995,0.84392,0.73814,0.28918,0.87817,0.00604,0.00604,0.00604
122,17208.1,0.97809,0.45265,0.96483,0.99937,1,0.995,0.84424,0.73768,0.28888,0.87816,0.006007,0.006007,0.006007
123,17349.8,0.97401,0.45048,0.96536,0.99938,1,0.995,0.8446,0.73742,0.28867,0.8782,0.005974,0.005974,0.005974
124,17491.8,0.97416,0.45259,0.96322,0.99937,1,0.995,0.84442,0.73711,0.28829,0.87813,0.005941,0.005941,0.005941
125,17633.5,0.97452,0.45001,0.96418,0.99937,1,0.995,0.84475,0.73637,0.2881,0.878,0.005908,0.005908,0.005908
126,17775.5,0.97479,0.45092,0.96286,0.99937,1,0.995,0.84503,0.73627,0.28792,0.87793,0.005875,0.005875,0.005875
127,17917.2,0.97625,0.45241,0.9656,0.99937,1,0.995,0.84489,0.73694,0.28793,0.87806,0.005842,0.005842,0.005842
128,18058.9,0.9716,0.44899,0.96491,0.99937,1,0.995,0.84473,0.73701,0.28792,0.87799,0.005809,0.005809,0.005809
129,18200.6,0.97054,0.45229,0.96346,0.99936,1,0.995,0.84424,0.73752,0.28768,0.87801,0.005776,0.005776,0.005776
130,18342.4,0.96734,0.44595,0.96095,0.99936,1,0.995,0.84419,0.73797,0.28795,0.87805,0.005743,0.005743,0.005743
131,18484,0.96918,0.44834,0.96318,0.99936,1,0.995,0.84383,0.73844,0.28778,0.87804,0.00571,0.00571,0.00571
132,18626,0.96878,0.44749,0.96303,0.99938,1,0.995,0.84381,0.73866,0.28756,0.87799,0.005677,0.005677,0.005677
133,18768,0.96614,0.44704,0.9613,0.99937,1,0.995,0.84383,0.73908,0.28751,0.87802,0.005644,0.005644,0.005644
134,18909.9,0.96468,0.44447,0.96089,0.99936,1,0.995,0.84394,0.73954,0.28742,0.87808,0.005611,0.005611,0.005611
135,19051.7,0.96607,0.44475,0.95962,0.99936,1,0.995,0.84367,0.74003,0.2872,0.87814,0.005578,0.005578,0.005578
136,19193.5,0.96282,0.44578,0.96233,0.99937,1,0.995,0.84368,0.74057,0.28688,0.87817,0.005545,0.005545,0.005545
137,19335.2,0.95995,0.44353,0.96072,0.99936,1,0.995,0.84355,0.74077,0.28661,0.87818,0.005512,0.005512,0.005512
138,19477.1,0.9615,0.44401,0.96173,0.99936,1,0.995,0.84324,0.74153,0.28649,0.87834,0.005479,0.005479,0.005479
139,19619.1,0.96311,0.44321,0.96239,0.99935,1,0.995,0.84306,0.74125,0.2865,0.87829,0.005446,0.005446,0.005446
140,19761.2,0.95948,0.44302,0.96189,0.99935,1,0.995,0.84283,0.74201,0.28648,0.87849,0.005413,0.005413,0.005413
141,19903.2,0.96139,0.44131,0.95925,0.99935,1,0.995,0.84279,0.74299,0.28656,0.87869,0.00538,0.00538,0.00538
142,20045.4,0.95728,0.44237,0.95879,0.99935,1,0.995,0.84244,0.74375,0.28629,0.87879,0.005347,0.005347,0.005347
143,20187.2,0.95824,0.43903,0.95906,0.99934,1,0.995,0.84216,0.74435,0.28631,0.87888,0.005314,0.005314,0.005314
144,20329.3,0.95573,0.4411,0.95949,0.99935,1,0.995,0.84215,0.74516,0.28635,0.87904,0.005281,0.005281,0.005281
145,20471.4,0.95572,0.43943,0.96137,0.99935,1,0.995,0.84203,0.74537,0.28615,0.87904,0.005248,0.005248,0.005248
146,20613.7,0.95789,0.44044,0.95953,0.99934,1,0.995,0.84188,0.74595,0.28617,0.87913,0.005215,0.005215,0.005215
147,20755.7,0.95437,0.43807,0.95945,0.99934,1,0.995,0.84177,0.74579,0.28595,0.87915,0.005182,0.005182,0.005182
148,20897.9,0.95402,0.43746,0.95912,0.99936,1,0.995,0.84175,0.74634,0.28575,0.87926,0.005149,0.005149,0.005149
149,21040.1,0.95462,0.43828,0.95723,0.99936,1,0.995,0.84171,0.74682,0.28568,0.87942,0.005116,0.005116,0.005116
150,21182.1,0.94922,0.43537,0.95505,0.99935,1,0.995,0.84167,0.74773,0.28567,0.87961,0.005083,0.005083,0.005083
151,21324.2,0.94755,0.43701,0.95575,0.99935,1,0.995,0.84154,0.74822,0.2857,0.87976,0.00505,0.00505,0.00505
152,21466.3,0.94746,0.43621,0.95545,0.99936,1,0.995,0.8414,0.74872,0.28568,0.87987,0.005017,0.005017,0.005017
153,21608.6,0.94682,0.43616,0.95603,0.99937,1,0.995,0.84154,0.749,0.28545,0.87994,0.004984,0.004984,0.004984
154,21750.6,0.94594,0.43653,0.95488,0.99937,1,0.995,0.84139,0.74965,0.2853,0.88011,0.004951,0.004951,0.004951
155,21892.6,0.94614,0.43576,0.95712,0.99938,1,0.995,0.84083,0.75092,0.28513,0.88047,0.004918,0.004918,0.004918
156,22034.7,0.94433,0.43486,0.95474,0.99938,1,0.995,0.84031,0.75269,0.28518,0.88095,0.004885,0.004885,0.004885
157,22176.8,0.94216,0.4335,0.95409,0.99938,1,0.995,0.83964,0.75312,0.28501,0.88117,0.004852,0.004852,0.004852
158,22319,0.94198,0.43237,0.95443,0.99937,1,0.995,0.83977,0.75327,0.28489,0.88117,0.004819,0.004819,0.004819
159,22461.5,0.94027,0.43268,0.95405,0.99938,1,0.995,0.8396,0.75367,0.2851,0.88135,0.004786,0.004786,0.004786
160,22603.7,0.93799,0.43126,0.95283,0.99938,1,0.995,0.83935,0.75422,0.28488,0.88147,0.004753,0.004753,0.004753
161,22746,0.93497,0.43065,0.95322,0.99938,1,0.995,0.83936,0.75501,0.28474,0.88169,0.00472,0.00472,0.00472
162,22888.4,0.93488,0.42789,0.95194,0.99938,1,0.995,0.83955,0.75552,0.28485,0.8818,0.004687,0.004687,0.004687
163,23030.5,0.93611,0.42684,0.95374,0.99938,1,0.995,0.83962,0.75536,0.28477,0.88168,0.004654,0.004654,0.004654
164,23172.7,0.93179,0.42763,0.95113,0.99938,1,0.995,0.83957,0.75644,0.28483,0.88188,0.004621,0.004621,0.004621
165,23315,0.93362,0.42872,0.95301,0.99937,1,0.995,0.83927,0.75745,0.28488,0.88209,0.004588,0.004588,0.004588
166,23457.2,0.93128,0.42843,0.95133,0.99937,1,0.995,0.83895,0.75816,0.28464,0.88225,0.004555,0.004555,0.004555
167,23599.7,0.92975,0.42677,0.95077,0.99938,1,0.995,0.83871,0.75919,0.28478,0.88252,0.004522,0.004522,0.004522
168,23741.9,0.92633,0.42544,0.94858,0.99937,1,0.995,0.83834,0.76025,0.28479,0.88273,0.004489,0.004489,0.004489
169,23884,0.92976,0.42974,0.95168,0.99936,1,0.995,0.83776,0.76169,0.28522,0.88317,0.004456,0.004456,0.004456
170,24026.2,0.92632,0.42603,0.94893,0.99936,1,0.995,0.83753,0.76265,0.28531,0.88343,0.004423,0.004423,0.004423
171,24168.6,0.92431,0.42353,0.94978,0.99936,1,0.995,0.8371,0.76326,0.28528,0.88369,0.00439,0.00439,0.00439
172,24311.1,0.92327,0.42491,0.94935,0.99936,1,0.995,0.83719,0.76392,0.28531,0.88397,0.004357,0.004357,0.004357
173,24453.3,0.92347,0.42315,0.95015,0.99937,1,0.995,0.83706,0.76502,0.28531,0.88427,0.004324,0.004324,0.004324
174,24595.6,0.92284,0.42326,0.94875,0.99937,1,0.995,0.83668,0.76598,0.28518,0.88453,0.004291,0.004291,0.004291
175,24737.9,0.91519,0.4202,0.9472,0.99937,1,0.995,0.83655,0.76711,0.28542,0.88481,0.004258,0.004258,0.004258
176,24880.3,0.91807,0.42076,0.94686,0.99936,1,0.995,0.83561,0.76825,0.28541,0.88514,0.004225,0.004225,0.004225
177,25022.4,0.91681,0.42057,0.94663,0.99935,1,0.995,0.83554,0.76836,0.28538,0.88522,0.004192,0.004192,0.004192
178,25164.8,0.91857,0.42121,0.94763,0.99935,1,0.995,0.83513,0.76953,0.28537,0.88558,0.004159,0.004159,0.004159
179,25307.2,0.91498,0.4234,0.94773,0.99936,1,0.995,0.83489,0.77006,0.28554,0.88586,0.004126,0.004126,0.004126
180,25449.5,0.91276,0.42049,0.94602,0.99936,1,0.995,0.83441,0.77063,0.28569,0.88606,0.004093,0.004093,0.004093
181,25591.7,0.91345,0.41902,0.94869,0.99936,1,0.995,0.83391,0.77203,0.28593,0.88648,0.00406,0.00406,0.00406
182,25734.2,0.90888,0.41559,0.94528,0.99935,1,0.995,0.8337,0.77282,0.28599,0.88671,0.004027,0.004027,0.004027
183,25876.5,0.90684,0.41633,0.94436,0.99936,1,0.995,0.83302,0.77393,0.28611,0.88704,0.003994,0.003994,0.003994
184,26018.8,0.90412,0.41736,0.94458,0.99936,1,0.995,0.83279,0.77485,0.28626,0.88735,0.003961,0.003961,0.003961
185,26161.4,0.90777,0.41812,0.9456,0.99936,1,0.995,0.83242,0.77557,0.28637,0.88764,0.003928,0.003928,0.003928
186,26304,0.90594,0.41615,0.94482,0.99936,1,0.995,0.83251,0.77587,0.28607,0.88772,0.003895,0.003895,0.003895
187,26446.4,0.90515,0.41543,0.94246,0.99937,1,0.995,0.83209,0.77655,0.28607,0.88789,0.003862,0.003862,0.003862
188,26588.7,0.89997,0.41236,0.94312,0.99937,1,0.995,0.83214,0.77658,0.28622,0.88799,0.003829,0.003829,0.003829
189,26731.1,0.89933,0.41169,0.94181,0.99938,1,0.995,0.83165,0.77739,0.28629,0.88828,0.003796,0.003796,0.003796
190,26873.3,0.89643,0.41336,0.94166,0.99939,1,0.995,0.83172,0.77782,0.28658,0.88844,0.003763,0.003763,0.003763
191,27015.9,0.89703,0.41288,0.944,0.99938,1,0.995,0.8315,0.77893,0.28653,0.88876,0.00373,0.00373,0.00373
192,27158.6,0.89434,0.41198,0.94117,0.99938,1,0.995,0.83119,0.78007,0.28692,0.88919,0.003697,0.003697,0.003697
193,27301.1,0.88793,0.41058,0.93795,0.99939,1,0.995,0.83086,0.78091,0.28693,0.88953,0.003664,0.003664,0.003664
194,27443.6,0.89712,0.41202,0.94126,0.99939,1,0.995,0.8302,0.78176,0.28696,0.88981,0.003631,0.003631,0.003631
195,27589.4,0.89062,0.41158,0.94009,0.99939,1,0.995,0.82955,0.78332,0.28726,0.89028,0.003598,0.003598,0.003598
196,27734.6,0.88888,0.40972,0.93894,0.9994,1,0.995,0.8296,0.78418,0.28728,0.89061,0.003565,0.003565,0.003565
197,27881.1,0.88637,0.40904,0.93919,0.9994,1,0.995,0.82895,0.78487,0.28741,0.8909,0.003532,0.003532,0.003532
198,28027.5,0.8799,0.40475,0.93549,0.9994,1,0.995,0.82843,0.78579,0.28748,0.89121,0.003499,0.003499,0.003499
199,28170.5,0.87892,0.40728,0.937,0.9994,1,0.995,0.82778,0.78699,0.28782,0.89153,0.003466,0.003466,0.003466
200,28313.2,0.87908,0.4051,0.93614,0.9994,1,0.995,0.82759,0.78816,0.28785,0.89196,0.003433,0.003433,0.003433
201,28455.8,0.87776,0.40462,0.93655,0.99941,1,0.995,0.82731,0.78937,0.28779,0.89232,0.0034,0.0034,0.0034
